"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD","min.height","max.height","mean.height","sd.height","min.WD","max.WD","mean.WD","sd.WD","No.trees","No.palms","No.families","No.genus","No.species","BA10","BA10.plot","BA35","BA35.plot","Basal.area.plot","WD10","WD35","WD.C1","WD.C2"
"AND_A01 T01P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P02",2013,"PaiSus",29,2,30.1028991568321,10.1,60,28.948275862069,16.2522003057532,0.25,0.025,99.2460307235138,47.6380947472866,110.486995391947,53.0337577881347,209.733026115461,100.671852535421,6.23,34.92,17.9951724137931,8.25428616827544,0.265,0.9295,0.63377011954023,0.227631484190435,"29","0",13,16,18,3541.04615949374,141641.846379749,21354.3713061908,85417.4852247632,22.7059331604513,0.650685228510181,0.73858321656895,0.694634222539565,0.683751586290947
"AND_A01 T01P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P03",2013,"PaiSus",18,3,14.0951080788782,11,59,28.2833333333333,16.2012435978738,0.25,0.025,98.7916675850456,47.4200004408219,46.5012659131252,22.3206076383001,145.292933498171,69.740608079122,6.42,37.87,18.7466666666667,8.44808575602642,0.265,0.997,0.546570216666667,0.190765361416961,"16","2",12,14,14,3497.08742428838,139883.496971535,11316.4722691652,45265.8890766608,18.5149386048196,0.569728376979224,0.590765326492062,0.580246851735643,0.57487155483946
"AND_A01 T01P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T01P04",2013,"PaiSus",21,2,42.823600050571,10.9,84,38.8666666666667,17.9116256474205,0.25,0.025,7.61949807515486,3.65735907607433,170.532452962701,81.8555774220966,178.151951037856,85.5129364981709,7.16,53.84,26.6390476190476,12.4393476134249,0.265,0.9295,0.619350398412698,0.223978459021699,"21","0",11,14,15,661.368085433723,26454.7234173489,29293.3251674633,117173.300669853,14.3628024087202,0.389205173361201,0.680738196806312,0.534971685083756,0.627040977539538
"AND_A01 T02P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P01",2013,"PaiSus",14,0,13.9464456374753,10.4,60,32.7642857142857,17.9822821835125,0.25,0.025,39.3507809274884,18.8883748451944,51.8507058159013,24.8883387916326,91.2014867433898,43.7767136368271,9.96,30.78,21.1664285714286,6.13005409330237,0.265,0.997,0.600396811904762,0.211301971583183,"14","0",10,12,12,1607.87497408889,64314.9989635556,13497.4444291036,53989.7777164143,11.830477667997,0.526674709298509,0.556302403082525,0.541488556190517,0.54019565618281
"AND_A01 T02P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P02",2013,"PaiSus",26,1,19.4153937957339,10.3,53.2,27.2461538461538,14.7737396963458,0.25,0.025,59.7511966650394,28.6805743992189,71.6864572163355,34.4094994638411,131.437653881375,63.09007386306,7.56,37.44,20.7284615384615,7.00411290160728,0.265,0.8520833,0.505553803846154,0.170164067641143,"26","0",10,12,13,3246.41974645845,129856.789858338,16198.2794873764,64793.1179495054,19.4649907807843,0.384738909848626,0.6188156095869,0.501777259717763,0.462656024663523
"AND_A01 T02P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P03",2013,"PaiSus",12,1,2.8380557377434,11,49.4,16.5083333333333,10.8418765847425,0.25,0.025,50.5176970251451,24.2484945720696,6.30045306848377,3.02421747287221,56.8181500936288,27.2727120449418,7.55,25.17,14.3108333333333,4.70146294124274,0.3876667,0.88,0.63803935,0.178175960264395,"10","2",8,9,11,1667.36103098461,66694.4412393845,1916.6542620286,7666.61704811439,7.43610582874989,0.659970496622153,0.6797143,0.669842398311077,0.662006080610025
"AND_A01 T02P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T02P04",2013,"PaiSus",22,5,54.8082198164202,14,82.1,43.8454545454545,17.8930879783954,0.25,0.025,113.667710877203,54.5605012210574,207.894892985743,99.7895486331566,321.562603862946,154.350049854214,10.2,44.72,30.6736663636364,7.99294893046874,0.41,0.893,0.646313840909091,0.176980351600797,"22","0",10,15,15,3025.55792892945,121022.317157178,35472.0996428008,141888.398571203,26.2910715728381,0.588262301100393,0.656555113454843,0.622408707277618,0.625118759202723
"AND_A01 T03P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P01",2013,"PaiSus",31,0,60.5597900268093,10.9,73,36.6225806451613,18.8496632980967,0.25,0.025,105.852501267367,50.809200608336,231.653914347257,111.193878886683,337.506415614623,162.003079495019,6.94,48.11,27.0751612903226,8.3671515945662,0.3506667,0.9213636,0.693959164516129,0.149193027429719,"31","0",11,17,18,2628.57842724021,105143.137089609,38398.1947483176,153592.77899327,25.8735916082879,0.65392453107586,0.68464719370754,0.6692858623917,0.672162351333334
"AND_A01 T03P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P02",2013,"PaiSus",19,4,18.1728429576988,11.1,55,25.9210526315789,15.6734233283737,0.25,0.025,64.7972519361777,31.1026809293653,66.2116486183936,31.7815913368289,131.008900554571,62.8842722661942,9.65,32.74,20.2047368421053,7.31325764805949,0.3833333,0.8520833,0.687030126315789,0.13756046053705,"19","0",9,14,15,2157.81076809978,86312.4307239913,11341.5578865041,45366.2315460165,13.1678662270008,0.654364163054295,0.763597373506494,0.708980768280394,0.691997436604173
"AND_A01 T03P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P03",2013,"PaiSus",10,0,22.0244011826781,13,68,37.9,22.9898528340947,0.25,0.025,42.6701377896233,20.4816661390192,83.8305900702596,40.2386832337246,126.500727859883,60.7203493727438,16.23,45.25,26.549,10.9909037642751,0.339835,0.8520833,0.64527548,0.158831354404033,"10","0",6,9,9,1211.75155639775,48470.0622559101,13805.7681861085,55223.0727444341,10.3693135000344,0.649378024942801,0.695049940658492,0.672213982800646,0.673701173470781
"AND_A01 T03P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T03P04",2013,"PaiSus",16,2,33.5689038579696,10.1,95,32.58,23.7649862492822,0.25,0.025,77.8642525491064,37.374841223571,126.489190810531,60.7148115890547,204.353443359637,98.0896528126258,6.58,48.5,23.9753333333333,11.5296300688188,0.462,0.8520833,0.719760066666667,0.125672629579399,"15","0",9,10,11,1690.30251133745,67612.1004534981,17024.7068508297,68098.8274033188,13.5710927856817,0.775718353244647,0.742067029503523,0.758892691374085,0.758832346174105
"AND_A01 T04P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P01",2013,"PaiSus",12,2,23.0532609951253,12.2,110,33.275,27.3500249293554,0.25,0.025,92.9288914390677,44.6058678907525,82.9201554622937,39.801674621901,175.849046901361,84.4075425126534,9.3,29.56,17.9433333333333,7.69315910206574,0.339835,0.9295,0.686721416666667,0.189866226887161,"12","0",8,9,11,2774.52111396273,110980.844558509,14123.2968095885,56493.1872383539,16.7474031796863,0.713476770511772,0.814495826809637,0.763986298660704,0.747553029385143
"AND_A01 T04P02 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P02",2013,"PaiSus",10,3,3.4289095728629,10.4,40,18.44,11.2982004466788,0.25,0.025,32.1538895271495,15.4338669730318,10.5002499721548,5.04011998663432,42.6541394993044,20.4739869596661,9.8,26.22,16.296,5.25784958155159,0.3833333,0.9295,0.66353612,0.200590767398739,"10","0",7,9,9,1115.55598934483,44622.2395737933,2457.36162761957,9829.44651047828,5.44516860842716,0.678240930110464,0.623041048313256,0.65064098921186,0.668276421671356
"AND_A01 T04P03 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P03",2013,"PaiSus",16,4,21.7850375655564,13.7,76.5,37.38125,16.8095694471929,0.25,0.025,46.7642319365812,22.446831329559,82.4637282024818,39.5825895371913,129.227960139063,62.0294208667502,11.35,34.44,22.09375,6.57288559158,0.265,0.9295,0.67813091875,0.203629578949147,"16","0",8,11,12,1393.63406307733,55745.3625230934,19494.9333003657,77979.7332014628,13.3725095724556,0.706993460117334,0.603490133687553,0.655241796902443,0.646637086942002
"AND_A01 T04P04 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T04P04",2013,"PaiSus",20,0,68.0118374550065,11.8,105,46.265,24.1296339972679,0.25,0.025,53.3003052658789,25.5841465276219,266.717323287506,128.024315178003,320.017628553385,153.608461705625,9.66,42.23,27.2005,10.4672634914767,0.2547611,0.8963846,0.723830045,0.180687554438983,"20","0",9,12,13,1676.29100810244,67051.6403240977,40634.3254212714,162537.301685085,22.9588942009183,0.766113951752783,0.734944414337258,0.75052918304502,0.744047503508559
"AND_A01 T05P01 50x50 2013","AND_A01","50x50","PA","Fazenda Andiroba","T05P01",2013,"PaiSus",10,3,10.3116992375152,11.5,63.9,32.08,16.8998224842748,0.25,0.025,54.530094367472,26.1744452963866,35.8348205951167,17.200713885656,90.3649149625886,43.3751591820425,10.46,30.4,19.002585,7.57036069447634,0.479166666666667,0.8520833,0.715104746666667,0.127259902196746,"10","0",5,6,6,1540.6291833388,61625.167333552,8560.92637483016,34243.7054993206,9.58688728328727,0.815300272466214,0.609561693714559,0.712430983090386,0.741811859674479
